T_HEAT_LOW_C,AIRFLOW_PER_PERSON_M3H,T_HW_SUPPLY_MAX,T_STAIR_COLD_C,T_HW_EXT_HYST_C,T_BLOW_HEAT_C,E_total_kWh,E_heat_kWh,E_cool_kWh,E_fan_kWh,E_curtain_kWh,cost_eur,CO2_kg,T_comfort_pct,T_mild_pct,T_discomfort_pct,RH_comfort_pct,RH_mild_pct,RH_discomfort_pct,combined_comfort_pct,combined_mild_pct,combined_discomfort_pct,T_in_min,T_in_max
14.0,18.0,45.0,5.0,11.0,30.0,13118.849254063505,4287.092996986974,1166.0074886553257,4982.07704564165,2683.671722779556,2211.3411231815726,352.9260481036535,43.08743169398907,49.071038251366126,7.841530054644809,58.01912568306011,19.439890710382514,22.540983606557376,24.972677595628415,45.86065573770492,29.166666666666668,11.94945151413168,30.203068338690095
14.0,18.0,45.0,5.0,11.0,32.0,13211.438513076113,4391.147355759863,1163.9784909247603,4972.640943611935,2683.671722779556,2225.134328247941,354.2843400239706,43.0327868852459,49.59016393442623,7.377049180327869,57.99180327868852,19.494535519125684,22.51366120218579,25.013661202185794,46.32513661202186,28.66120218579235,12.085324716141617,30.226982901098822
14.0,18.0,45.0,5.0,13.0,28.0,13048.13710982206,4193.223553929478,1173.0197936824138,4998.222039430613,2683.671722779556,2197.632627347058,349.1071803251178,43.01912568306011,48.66120218579235,8.319672131147541,58.032786885245905,19.385245901639344,22.581967213114755,24.972677595628415,45.38251366120218,29.6448087431694,12.067908278475418,30.209692459208753
14.0,18.0,45.0,5.0,13.0,30.0,13118.849254063505,4287.092996986974,1166.0074886553257,4982.07704564165,2683.671722779556,2211.3411231815726,352.9260481036535,43.08743169398907,49.071038251366126,7.841530054644809,58.01912568306011,19.439890710382514,22.540983606557376,24.972677595628415,45.86065573770492,29.166666666666668,11.94945151413168,30.203068338690095
14.0,18.0,45.0,5.0,13.0,32.0,13211.438513076113,4391.147355759863,1163.9784909247603,4972.640943611935,2683.671722779556,2225.134328247941,354.2843400239706,43.0327868852459,49.59016393442623,7.377049180327869,57.99180327868852,19.494535519125684,22.51366120218579,25.013661202185794,46.32513661202186,28.66120218579235,12.085324716141617,30.226982901098822
14.0,18.0,45.0,5.0,15.0,28.0,13048.13710982206,4193.223553929478,1173.0197936824138,4998.222039430613,2683.671722779556,2197.632627347058,349.1071803251178,43.01912568306011,48.66120218579235,8.319672131147541,58.032786885245905,19.385245901639344,22.581967213114755,24.972677595628415,45.38251366120218,29.6448087431694,12.067908278475418,30.209692459208753
14.0,18.0,45.0,5.0,15.0,30.0,13118.849254063505,4287.092996986974,1166.0074886553257,4982.07704564165,2683.671722779556,2211.3411231815726,352.9260481036535,43.08743169398907,49.071038251366126,7.841530054644809,58.01912568306011,19.439890710382514,22.540983606557376,24.972677595628415,45.86065573770492,29.166666666666668,11.94945151413168,30.203068338690095
14.0,18.0,45.0,5.0,15.0,32.0,13211.438513076113,4391.147355759863,1163.9784909247603,4972.640943611935,2683.671722779556,2225.134328247941,354.2843400239706,43.0327868852459,49.59016393442623,7.377049180327869,57.99180327868852,19.494535519125684,22.51366120218579,25.013661202185794,46.32513661202186,28.66120218579235,12.085324716141617,30.226982901098822
14.0,18.0,45.0,7.0,11.0,28.0,13403.150625886808,3014.6706581407484,1163.60596292955,4992.655228416594,4232.218776399917,2265.086132371111,359.77918829080096,43.060109289617486,50.30054644808744,6.639344262295081,57.513661202185794,19.23497267759563,23.251366120218577,25.10928961748634,46.27049180327869,28.620218579234972,12.011499808336229,30.184743663077256
14.0,18.0,45.0,7.0,11.0,30.0,13428.168043265548,3053.7224902779467,1163.1966741882882,4979.030102399397,4232.218776399917,2267.7267945843814,360.2229723485147,43.10109289617486,50.560109289617486,6.33879781420765,57.25409836065574,19.453551912568308,23.292349726775956,25.095628415300546,46.53005464480874,28.374316939890708,11.98051301224137,30.19622837009018
